#编号	活动名称	活动图标	活动描述	活动奖励	参与类型（0前往1参加2只显示状态）	关联场景	场景坐标	参与等级	任务需求	有效日期(0,0,0表示开服算起)	持续天数	每日进入次数（0表示无限）	每日额外次数	额外次数花费元宝	开启时间	结束时间	周日期	开启调用函数ID	关闭调用函数ID	进入函数
$id	actName	actIcon	actTxt	actReward	actJoin	actMap	actPos	actLv	taskLimit	validday	keepday	entertimes	extimes	excost	opentime	closetime	weekday	openFunID	closeFunID	enterFunID
1	封魔岭	activity002.png	封魔岭活动是最佳的获取荣誉方式！召唤超强法师，对通过封魔岭的怪物进行痛击！越高级的法师杀伤力越强！杀死越多怪物，获得荣誉也越多！您随时可以召唤增援的法师！	活动奖励：海量荣誉	1	0	0	1	0	0,0,0	3650	2	0	0	0,0,0	0,0,0	1,2,3,4,5,6,0	0	0	100
2	膜拜城主（中午）	activity001.png	膜拜城主在12:00开始！围绕在荣耀城城主雕像周围的玩家会得到海量经验值,持续10分钟~等级越高获得经验越多！记得准时参加哦！这个活动一结束，功力池活动马上开始！	活动奖励：海量经验	0	30201	21,15	1	0	0,0,0	3650	0	0	0	12,0,0	12,10,0	1,2,3,4,5,6,0	1	2	0
3	膜拜城主（晚上）	activity001.png	膜拜城主在19:00开始！围绕在荣耀城城主雕像周围的玩家会得到海量经验值,持续10分钟~等级越高获得经验越多！记得准时参加哦！这个活动一结束，功力池活动马上开始！	活动奖励：海量经验	0	30201	21,15	1	0	0,0,0	3650	0	0	0	19,0,0	19,10,0	1,2,3,4,5,6,0	1	2	0
4	降妖伏魔	activity003.png	击杀指定怪物获得超大量经验值！任务共10星级，系统将随机刷新，也可使用金钱进行刷新！星级越高，获得的经验就越多！如果活动次数用完了，还可使用元宝购买次数！	活动奖励：海量经验	0	30201	22,25	1	0	0,0,0	3650	10	5	200	0,0,0	0,0,0	1,2,3,4,5,6,0	0	0	0
5	功力池（中午）	activity004.png	功力池在12:12开始！各主城中会出现功力池，站入即得大量荣誉星魂精魂秘魂战魂玄魂奖励！一个点内站的玩家越少，分的收益就越高！快去抢个人少的功力池吧！	活动奖励：大量荣誉、星魂、精魂、秘魂、战魂、玄魂	2	0	0	1	0	0,0,0	3650	0	0	0	12,12,0	13,00,0	1,2,3,4,5,6,0	3	4	0
6	功力池（晚上）	activity004.png	功力池在19:12开始！各主城中会出现功力池，站入即得大量荣誉星魂精魂秘魂战魂玄魂奖励！一个点内站的玩家越少，分的收益就越高！快去抢个人少的功力池吧！	活动奖励：大量荣誉、星魂、精魂、秘魂、战魂、玄魂	2	0	0	1	0	0,0,0	3650	0	0	0	19,12,0	20,00,0	1,2,3,4,5,6,0	3	4	0
7	闯天关	activity005.png	消耗7点体力自由挑战BOSS！等级越高，可以选的BOSS越多，越后面BOSS出的装备越好！挑战成功还有时间奖励，最多奖励10次！时间没用完还可累计，最多可累计30分钟！	活动奖励：高品质装备、大量合成素材	0	30201	6,21	1	0	0,0,0	3650	0	0	0	0,0,0	0,0,0	1,2,3,4,5,6,0	0	0	0
8	悬赏活动	activity003.png	每天21:00到23：30分，搜集指定道具，完成任务后获得绑定元宝奖励，越快完成奖励越丰厚哦！	活动奖励：大量绑定元宝	0	30201	3,18	20	0	0,0,0	3650	1	0	0	21,0,0	23,30,0	1,2,3,4,5,6,0	5	6	0
9	王城争夺战	activity006.png	每周一、三、五开放，所有行会成员在王城集合，决出最强行会和王城城主！战斗中可获得大量声望奖励，声望可用于特戒和经验丹的抽奖！	活动奖励：大量声望	0	30401	18,13	1	0	0,0,0	3650	0	0	0	20,30,0	21,00,0	1,3,5	0	0	0
10	王城攻防战	activity007.png	每周二、四、六开放，最强行会将与全服所有行会对抗，保卫专享声望值！战斗中可获得大量声望奖励，声望可用于特戒和经验丹的抽奖！	活动奖励：大量声望	0	30401	18,13	1	0	0,0,0	3650	0	0	0	20,30,0	21,00,0	2,4,6	0	0	0
11	豪华午餐	activity008.png	豪华午餐开启时间为每天的12：00-14:00，活动时间内主界面会出现一个烤鸡按钮，吃完烤鸡后获得50点体力1	体力	2	0	0	1	0	0,0,0	3650	0	0	0	12,0,0	14,0,0	1,2,3,4,5,6,0	7	8	0
12	豪华晚餐	activity008.png	豪华晚餐开启时间为每天的18：00-20:00，活动时间内主界面会出现一个烤鸡按钮，吃完烤鸡后获得50点体力！	体力	2	0	0	1	0	0,0,0	3650	0	0	0	18,0,0	20,0,0	1,2,3,4,5,6,0	7	8	0
13	进击战神	activity003.png	进击战神活动时间为每天的20:10-20:20，根据玩家活动时间内对怪物造成的总伤害进行排名，排名越高，奖励越高！	经验丹，士气丹，招财符	2	30201	15,20	20	45	0,0,0	3650	0	0	0	20,10,0	20,20,0	1,2,3,4,5,6,0	9	10	0
14	妖魔入侵	activity003.png	妖魔入侵活动时间为每天的12:30-14:00，从行会【活动】进入，杀死怪物获得功勋！	功勋	2	30201	15,20	10	15	0,0,0	3650	0	0	0	12,30,0	14,0,0	1,2,3,4,5,6,0	11	12	0
15	金猪送福	activity003.png	金猪送福活动时间为每天的19:00-19:30，从行会【活动】进入，杀死怪物获得功勋！	金钱	2	30201	15,20	10	15	0,0,0	3650	0	0	0	19,0,0	19,30,0	1,2,3,4,5,6,0	13	14	0
16	跨服竞赛（中午）	activity003.png	跨服除魔竞赛活动时间为每天的12:00-14:00，根据击杀数量和用时长短排名！	非绑元宝、金钱	2	30401	18,13	20	0	0,0,0	3650	0	0	0	12,0,0	14,0,0	1,2,4,5,0	15	16	0
17	跨服竞赛（晚上）	activity003.png	跨服除魔竞赛活动时间为每天的18:00-20:00，根据击杀数量和用时长短排名！	非绑元宝、金钱	2	30401	18,13	20	0	0,0,0	3650	0	0	0	18,0,0	20,0,0	1,2,4,5,0	15	16	0
18	行会果树	activity003.png	行会果树活动时间为每天的21:10-21:30，从行会【活动】进入，全行会浇灌总是越多，领取果实的奖励越好！	体力丹，元宝	2	0	0	20	0	0,0,0	3650	0	0	0	21,10,0	21,30,0	1,2,3,4,5,6,0	17	18	0
19	勇闯地宫	activity003.png	勇闯地宫活动时间为每周2/4/7的10:00-23:00，从地宫活动NPC进入，全行会浇灌总是越多，领取果实的奖励越好！	体力丹，元宝	2	30201	4,17	20	0	0,0,0	3650	0	0	0	10,00,0	23,00,0	2,4,0	19	20	0
20	域外战场	activity003.png	域外BOSS战场，可组队挑战！每日可成功挑战一次！	宝箱	2	30201	10,10	1	0	0,0,0	3650	0	0	0	0,0,20	23,50,0	1,2,3,4,5,6,0	21	22	0
21	骰子王争霸	activity003.png	活动期间，匹配玩家进行投掷骰子，点数大的获胜！	元宝	2	30201	10,10	1	0	0,0,0	3650	0	0	0	12,0,0	14,0,0	1,2,3,4,5,6,0	23	24	0
22	骰子王争霸	activity003.png	活动期间，匹配玩家进行投掷骰子，点数大的获胜！	元宝	2	30201	10,10	1	0	0,0,0	3650	0	0	0	19,0,0	21,0,0	1,2,3,4,5,6,0	23	24	0

